Quantity	Name	Value	Package	
2	R7,R17	1,5K	0207	
2	R12,R19	1,5M	0207	
2	R2,R16	2,2K	0207	
2	U3,U6	6N136	DIL8	
4	R5,R10,R14,R15	10K	0207	
1	KL3	12V	TERMINAL-BLOCK2	
1	R13	22K	0207	
1	R8	25K	PT10LV	
1	R11	33K	0207	
1	R3	56K	0207	
1	R18	68K	0207	
3	C1,C2,C3	100NF	C_GRID5,08	
2	Q1,Q3	BC560	TO92	
1	JP4	C1x5	1X05	
1	U5	LM393N	DIL8	
1	KL4	RS-bus	TERMINAL-BLOCK2	
